Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;18/05/1981;0000;;31;;7.8;4.9;;;;
83676;18/05/1981;1200;0;;16.9;;;;;;
83676;19/05/1981;0000;;30.1;;10.1;5.1;;;;
83676;19/05/1981;1200;1.6;;18;;;;;;
83676;20/05/1981;0000;;30;;8.6;5;;;;
83676;20/05/1981;1200;0;;18.6;;;;;;
83676;21/05/1981;0000;;28.3;;5.3;5.2;21.72;79.75;2.3;
83676;21/05/1981;1200;0;;18.8;;;;;;
83676;22/05/1981;0000;;28.2;;9.8;3.9;20.86;65.25;2.433333;
83676;22/05/1981;1200;3.9;;15.6;;;;;;
83676;23/05/1981;0000;;28.3;;8.8;6.2;21.28;65.25;2.9;
83676;23/05/1981;1200;0;;16;;;;;;
83676;24/05/1981;0000;;27.9;;8.9;4.9;20.66;61.25;2.633333;
83676;24/05/1981;1200;0;;15.3;;;;;;
83676;25/05/1981;0000;;28.8;;6.6;5.4;21.06;65.25;3.1;
83676;25/05/1981;1200;0;;15.8;;;;;;
83676;26/05/1981;0000;;28.9;;7.6;4.7;20.7;62;1.733333;
83676;26/05/1981;1200;0;;14.5;;;;;;
83676;27/05/1981;0000;;29.1;;7.8;5.3;20.94;61;2.133333;
83676;27/05/1981;1200;0;;14.9;;;;;;
83676;28/05/1981;0000;;22.4;;4.3;5.2;18.66;79.75;2.366667;
83676;28/05/1981;1200;1;;16.1;;;;;;
83676;29/05/1981;0000;;24.6;;9;1.9;18.26;71.25;3.6;
83676;29/05/1981;1200;2.1;;13.5;;;;;;
83676;30/05/1981;0000;;26.2;;9.6;3.7;19.2;66;2.333333;
83676;30/05/1981;1200;0;;13.8;;;;;;
83676;31/05/1981;0000;;28.3;;9.6;4.8;20.12;65.5;2.333333;
83676;31/05/1981;1200;0;;14.6;;;;;;
83676;01/06/1981;0000;;28.9;;10;1;21.66;52.5;2.9;
83676;01/06/1981;1200;0;;15.6;;;;;;
83676;02/06/1981;0000;;29.7;;7.1;6.8;22.18;51.25;3.7;
83676;02/06/1981;1200;0;;17.3;;;;;;
83676;03/06/1981;0000;;22;;0.1;6.6;18.8;79.75;2.1;
83676;03/06/1981;1200;0;;17.8;;;;;;
83676;04/06/1981;0000;;25.9;;8.6;2.4;19.2;73.5;2.7;
83676;04/06/1981;1200;0;;14;;;;;;
83676;05/06/1981;0000;;28.2;;8.1;4.7;19.98;66;2.4;
83676;05/06/1981;1200;0;;13.9;;;;;;
83676;07/06/1981;0000;;20;;3.8;0.7;;;;
83676;07/06/1981;1200;58.6;;13.8;;;;;;
83676;08/06/1981;0000;;18.1;;4.8;3.4;;;;
83676;08/06/1981;1200;0;;9.8;;;;;;
83676;09/06/1981;0000;;22;;9.7;1.6;;;;
83676;09/06/1981;1200;0;;8.9;;;;;;
83676;10/06/1981;0000;;26.2;;10.2;3.7;17.56;65.75;2.566667;
83676;10/06/1981;1200;0;;10.8;;;;;;
83676;11/06/1981;0000;;27.9;;8.8;3.8;18.5;68.25;2.066667;
83676;11/06/1981;1200;0;;10.9;;;;;;
83676;12/06/1981;0000;;27.8;;9;4.6;19.7;58;2.266667;
83676;12/06/1981;1200;0;;13.9;;;;;;
83676;13/06/1981;0000;;23.6;;4.3;5.2;17.86;70.5;3.133333;
83676;13/06/1981;1200;0;;13.2;;;;;;
83676;14/06/1981;0000;;27.1;;9.1;4.2;19;68;1.633333;
83676;14/06/1981;1200;0;;12.7;;;;;;
83676;15/06/1981;0000;;28.3;;7.9;4.2;20.44;64.75;3;
83676;15/06/1981;1200;0;;14.9;;;;;;
83676;17/06/1981;0000;;20.1;;2.4;0.1;;;;
83676;17/06/1981;1200;30.4;;12.2;;;;;;
